StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Basin Big Sagebrush Upland,Ann Gr Mono:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Basin Big Sagebrush Upland,Ann Gr Mono:Open,,Seeded:Open,Restoration Annual Grass Threshold,0.0001,,,,,Yes,,,
Basin Big Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Basin Big Sagebrush Upland,Ann Gr:Open,,Ann Gr Mono:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
Basin Big Sagebrush Upland,Ann Gr:Open,,Seeded:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Basin Big Sagebrush Upland,Ann Gr:Open,,Sh Ann Gr:Closed,AltSuccession,0.0010,,,,,No,,,
Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,Yes,,,
Basin Big Sagebrush Upland,Crst Wht Gr:Open,,Crst Wht Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Basin Big Sagebrush Upland,Early:Open,,Ann Gr:Open,Annual Grass Invasion,0.0010,,,,,No,,,
Basin Big Sagebrush Upland,Early:Open,,Ann Gr:Open,Excessive-Herbivory,0.0010,,,,,No,,,
Basin Big Sagebrush Upland,Early:Open,,Early:Open,Replacement Fire,0.0500,,,,,Yes,,,
Basin Big Sagebrush Upland,Early:Open,,Early:Open,Wind/Weather/Stress,0.0100,,,,,No,,,
Basin Big Sagebrush Upland,Late:Closed,,Early:Open,REF-Restoration L,0.0050,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Early:Open,Replacement Fire,0.0500,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Early:Open,Wind/Weather/Stress,0.0002,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,Insect/Disease,0.0130,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,REF-Restoration L,0.0050,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Mid:Open,Wind/Weather/Stress,0.0080,,,,,Yes,,,
Basin Big Sagebrush Upland,Late:Closed,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0005,,,,,No,,,
Basin Big Sagebrush Upland,Late:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
