From Vegetation Type,From Class
Basin Big Sagebrush Upland,Ann Gr Mono:Open
Basin Big Sagebrush Upland,Ann Gr:Open
Basin Big Sagebrush Upland,Crst Wht Gr:Open
Basin Big Sagebrush Upland,Early:Open
Basin Big Sagebrush Upland,Late:Closed
Basin Big Sagebrush Upland,Mid:Open
Basin Big Sagebrush Upland,Seeded:Open
Basin Big Sagebrush Upland,Sh Ann Gr:Closed
Basin Big Sagebrush Upland,Sh Dpl:Closed
Curleaf Mountain Mahogany,Ann Gr:Open
Curleaf Mountain Mahogany,Early:Open
Curleaf Mountain Mahogany,Late:Closed
Curleaf Mountain Mahogany,Late:Open
Curleaf Mountain Mahogany,Mid 2:Open
Curleaf Mountain Mahogany,Mid:Closed
Curleaf Mountain Mahogany,Mid:Open
Curleaf Mountain Mahogany,Seeded:Open
Curleaf Mountain Mahogany,Tr Ann Gr:Closed
Curleaf Mountain Mahogany,Tr Enc:Open
Low Sagebrush,Ann Gr:Open
Low Sagebrush,Early:Open
Low Sagebrush,Late:Closed
Low Sagebrush,Mid:Open
Low Sagebrush,Sh Ann Gr:Closed
Low Sagebrush,Tr Enc:Open
Montane Sagebrush Upland,Ann Gr Mono:Open
Montane Sagebrush Upland,Ann Gr:Open
Montane Sagebrush Upland,Crst Wht Gr:Open
Montane Sagebrush Upland,Early:Open
Montane Sagebrush Upland,Late:Closed
Montane Sagebrush Upland,Late:Open
Montane Sagebrush Upland,Mid:Open
Montane Sagebrush Upland,Seeded:Open
Montane Sagebrush Upland,Sh Ann Gr:Closed
Montane Sagebrush Upland,Sh Dpl:Closed
Montane Sagebrush Upland With Trees,Ann Gr Mono:Open
Montane Sagebrush Upland With Trees,Ann Gr:Open
Montane Sagebrush Upland With Trees,Crst Wht Gr:Open
Montane Sagebrush Upland With Trees,Early:Open
Montane Sagebrush Upland With Trees,Late:Closed
Montane Sagebrush Upland With Trees,Late:Open
Montane Sagebrush Upland With Trees,Mid:Open
Montane Sagebrush Upland With Trees,Seeded:Open
Montane Sagebrush Upland With Trees,Sh Ann Gr:Closed
Montane Sagebrush Upland With Trees,Sh Dpl:Closed
Montane Sagebrush Upland With Trees,Tr Ann Gr:Closed
Montane Sagebrush Upland With Trees,Tr Enc Thr:Closed
Montane Sagebrush Upland With Trees,Tr Enc:Open
Western Juniper Woodland & Savannah,Ann Gr:Open
Western Juniper Woodland & Savannah,Early:Open
Western Juniper Woodland & Savannah,Late 2:Open
Western Juniper Woodland & Savannah,Late:Open
Western Juniper Woodland & Savannah,Mid:Open
Western Juniper Woodland & Savannah,Seeded:Open
Western Juniper Woodland & Savannah,Tr Ann Gr:Open
Wyoming and Basin Big Sagebrush Upland,Ann Gr Mono:Open
Wyoming and Basin Big Sagebrush Upland,Ann Gr:Open
Wyoming and Basin Big Sagebrush Upland,Crst Wht Gr:Open
Wyoming and Basin Big Sagebrush Upland,Early:Open
Wyoming and Basin Big Sagebrush Upland,Late:Closed
Wyoming and Basin Big Sagebrush Upland,Mid:Open
Wyoming and Basin Big Sagebrush Upland,Seeded:Open
Wyoming and Basin Big Sagebrush Upland,Sh Ann Gr:Closed
Wyoming and Basin Big Sagebrush Upland,Sh Dpl:Closed
